customer_id,age,monthly_spend,visits_per_month,channel,region,renewed
C001,29,82,8,Web,North,1
C002,44,55,4,Store,South,0
C003,35,64,5,Phone,East,1
C004,23,40,6,Web,North,1
C005,52,91,3,Store,South,0
C006,31,72,7,Web,East,1
C007,46,110,9,Phone,North,1
C008,27,48,5,Web,South,0
C009,39,88,7,Store,North,1
C010,61,76,2,Phone,East,0
C011,33,69,6,web,South,1
C012,38,57,4," Store ",North,0
C013,41,95,8,Online,East,1
C014,29,,4,Phone,South,0
C015,,105,9,Web,North,1
C016,58,63,3,Store,South,0
C017,26,-20,6,Web,East,1
C018,150,84,7,Phone,North,0
C019,37,73,5,Web,South,1
C020,49,98,8,Store,North,1
C021,45,52,4,Phone,East,0
C022,34,60,4,Store,South,0
C023,28,78,7,Web,North,1
C024,42,50,3,Phone,West,0
C025,54,115,10,Web,North,1
C026,40,67,5,Store,South,0
C027,32,81,7,Web,East,1
C028,47,89,6,Phone,North,1
C029,25,45,6,Web,South,1
C030,56,70,3,Store,East,0
C031,36,93,8,Web,North,1
C032,30,58,4,,West,0
C008,27,48,5,Web,South,0
